Strike Price,Option Type,Last Price,IV,Open Interest,Change in OI,Date,Expiry
24550.0,CE,1305.0,0.0,249,-11,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24550.0,PE,4.85,49.06,16182,1604,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24600.0,CE,1259.85,0.0,1273,85,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24600.0,PE,4.95,47.59,57808,16858,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24650.0,CE,1229.75,46.99,424,-7,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24650.0,PE,5.3,46.45,13129,272,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24700.0,CE,1165.1,0.0,927,-320,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24700.0,PE,5.7,45.33,58127,3490,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24750.0,CE,1113.0,0.0,668,-85,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24750.0,PE,5.95,43.98,25117,4851,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24800.0,CE,1062.35,0.0,2671,-1675,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24800.0,PE,6.0,42.35,72439,9275,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24850.0,CE,1012.2,0.0,558,-57,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24850.0,PE,6.6,41.33,25106,649,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24900.0,CE,960.85,0.0,3594,-2744,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24900.0,PE,6.75,39.78,62255,13696,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24950.0,CE,912.0,0.0,701,-70,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
24950.0,PE,7.1,38.39,24961,976,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25000.0,CE,862.0,0.0,9791,-2948,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25000.0,PE,7.5,37.02,176970,20682,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25050.0,CE,812.4,0.0,1167,-63,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25050.0,PE,7.75,35.46,28624,-1564,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25100.0,CE,762.85,0.0,5886,-6044,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25100.0,PE,8.15,34.01,47208,-29644,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25150.0,CE,714.1,0.0,1046,-207,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25150.0,PE,8.9,32.76,22785,-9574,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25200.0,CE,663.5,0.0,5523,-2520,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25200.0,PE,9.3,31.2,74714,-5516,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25250.0,CE,615.45,0.0,1128,-196,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25250.0,PE,9.6,29.52,34753,-650,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25300.0,CE,563.8,0.0,8851,-3070,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25300.0,PE,10.2,27.99,78465,-979,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25350.0,CE,518.75,0.0,1659,-1045,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25350.0,PE,10.65,26.31,55859,7712,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25400.0,CE,465.9,0.0,6392,-5650,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25400.0,PE,11.4,24.73,118347,11379,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25450.0,CE,416.45,0.0,2669,-1358,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25450.0,PE,12.45,23.22,76730,11116,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25500.0,CE,368.0,0.0,30018,-16779,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25500.0,PE,13.45,21.57,159814,-25003,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
25550.0,CE,320.2,0.0,11867,-10293,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
