Datetime,Close,High,Low,Open,Volume
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
2025-01-22 04:00:00+00:00,23103.25,23125.75,23051.099609375,23083.0,0
2025-01-22 04:30:00+00:00,23105.25,23117.5,23073.75,23102.05078125,0
2025-01-22 05:00:00+00:00,23095.5,23144.0,23073.5,23104.94921875,0
2025-01-22 05:30:00+00:00,23067.44921875,23103.900390625,23050.80078125,23095.099609375,0
2025-01-22 06:00:00+00:00,23035.30078125,23079.400390625,23030.44921875,23066.900390625,0
2025-01-22 06:30:00+00:00,23013.400390625,23050.849609375,22990.19921875,23034.55078125,0
2025-01-22 07:00:00+00:00,23017.94921875,23047.349609375,23007.150390625,23013.0,0
2025-01-22 07:30:00+00:00,23005.30078125,23045.19921875,22995.44921875,23019.150390625,0
2025-01-22 08:00:00+00:00,23016.5,23030.05078125,22981.44921875,23005.75,0
2025-01-22 08:30:00+00:00,23118.900390625,23126.30078125,22993.30078125,23016.30078125,0
2025-01-22 09:00:00+00:00,23159.400390625,23160.5,23087.5,23118.349609375,0
2025-01-22 09:30:00+00:00,23161.75,23169.349609375,23138.150390625,23159.19921875,0
2025-01-23 04:00:00+00:00,23202.69921875,23220.150390625,23103.0,23107.150390625,0
2025-01-23 04:30:00+00:00,23240.0,23240.94921875,23188.349609375,23203.30078125,0
2025-01-23 05:00:00+00:00,23211.099609375,23245.900390625,23202.5,23240.400390625,0
2025-01-23 05:30:00+00:00,23225.900390625,23232.55078125,23205.349609375,23211.900390625,0
2025-01-23 06:00:00+00:00,23217.400390625,23238.599609375,23201.05078125,23225.19921875,0
2025-01-23 06:30:00+00:00,23252.349609375,23259.94921875,23212.25,23217.599609375,0
2025-01-23 07:00:00+00:00,23245.55078125,23269.19921875,23232.099609375,23252.05078125,0
2025-01-23 07:30:00+00:00,23243.80078125,23251.099609375,23236.30078125,23245.599609375,0
2025-01-23 08:00:00+00:00,23251.55078125,23256.650390625,23229.900390625,23242.30078125,0
2025-01-23 08:30:00+00:00,23224.900390625,23254.55078125,23215.400390625,23250.900390625,0
2025-01-23 09:00:00+00:00,23213.349609375,23243.900390625,23201.0,23224.75,0
2025-01-23 09:30:00+00:00,23217.849609375,23220.650390625,23191.69921875,23213.849609375,0
2025-01-24 04:00:00+00:00,23145.849609375,23247.900390625,23144.349609375,23235.25,0
2025-01-24 04:30:00+00:00,23183.05078125,23210.80078125,23103.5,23144.25,0
2025-01-24 05:00:00+00:00,23221.19921875,23227.099609375,23170.0,23182.0,0
2025-01-24 05:30:00+00:00,23278.55078125,23289.19921875,23214.900390625,23220.400390625,0
2025-01-24 06:00:00+00:00,23323.75,23347.099609375,23269.349609375,23278.05078125,0
2025-01-24 06:30:00+00:00,23295.5,23331.30078125,23288.75,23323.349609375,0
2025-01-24 07:00:00+00:00,23219.650390625,23296.900390625,23195.80078125,23294.150390625,0
2025-01-24 07:30:00+00:00,23193.900390625,23228.099609375,23164.849609375,23218.30078125,0
2025-01-24 08:00:00+00:00,23175.25,23198.05078125,23141.69921875,23194.849609375,0
2025-01-24 08:30:00+00:00,23138.849609375,23213.75,23120.80078125,23172.80078125,0
2025-01-24 09:00:00+00:00,23078.5,23168.599609375,23050.94921875,23139.599609375,0
2025-01-24 09:30:00+00:00,23090.349609375,23105.55078125,23066.80078125,23079.349609375,0
2025-01-27 04:00:00+00:00,22967.25,23007.05078125,22948.099609375,22967.55078125,0
2025-01-27 04:30:00+00:00,22854.30078125,22999.150390625,22854.30078125,22967.25,0
2025-01-27 05:00:00+00:00,22846.55078125,22886.650390625,22827.19921875,22854.5,0
2025-01-27 05:30:00+00:00,22894.5,22903.5,22840.94921875,22847.25,0
2025-01-27 06:00:00+00:00,22906.5,22912.900390625,22856.25,22895.25,0
2025-01-27 06:30:00+00:00,22936.25,22943.69921875,22867.0,22907.44921875,0
2025-01-27 07:00:00+00:00,22862.75,22938.94921875,22840.55078125,22935.849609375,0
2025-01-27 07:30:00+00:00,22846.44921875,22892.349609375,22840.69921875,22862.80078125,0
2025-01-27 08:00:00+00:00,22860.349609375,22878.599609375,22827.94921875,22845.75,0
2025-01-27 08:30:00+00:00,22834.05078125,22861.099609375,22822.44921875,22860.349609375,0
2025-01-27 09:00:00+00:00,22825.55078125,22834.599609375,22790.30078125,22834.099609375,0
2025-01-27 09:30:00+00:00,22816.849609375,22843.30078125,22814.349609375,22826.150390625,0
2025-01-28 04:00:00+00:00,22892.0,22918.400390625,22860.30078125,22908.80078125,0
2025-01-28 04:30:00+00:00,22906.69921875,22930.349609375,22858.650390625,22894.400390625,0
2025-01-28 05:00:00+00:00,22897.5,22918.849609375,22873.44921875,22906.5,0
2025-01-28 05:30:00+00:00,22971.19921875,22985.94921875,22892.94921875,22897.150390625,0
2025-01-28 06:00:00+00:00,22995.150390625,23033.30078125,22957.849609375,22971.150390625,0
2025-01-28 06:30:00+00:00,23008.69921875,23049.0,22988.400390625,22994.900390625,0
2025-01-28 07:00:00+00:00,23045.0,23053.25,22999.099609375,23007.55078125,0
2025-01-28 07:30:00+00:00,23026.150390625,23073.75,23026.150390625,23044.75,0
2025-01-28 08:00:00+00:00,23057.650390625,23065.0,23021.75,23026.650390625,0
2025-01-28 08:30:00+00:00,23116.5,23123.150390625,23043.19921875,23057.349609375,0
2025-01-28 09:00:00+00:00,22987.599609375,23137.44921875,22956.94921875,23116.0,0
2025-01-28 09:30:00+00:00,22976.30078125,22990.75,22909.25,22989.75,0
2025-01-29 04:00:00+00:00,23056.69921875,23069.75,22978.150390625,22988.0,0
2025-01-29 04:30:00+00:00,23095.25,23105.650390625,23047.30078125,23056.44921875,0
2025-01-29 05:00:00+00:00,23122.849609375,23125.5,23068.25,23094.55078125,0
2025-01-29 05:30:00+00:00,23066.44921875,23123.94921875,22984.150390625,23122.75,0
2025-01-29 06:00:00+00:00,23112.69921875,23128.150390625,23066.80078125,23066.80078125,0
2025-01-29 06:30:00+00:00,23135.900390625,23168.05078125,23098.05078125,23111.5,0
2025-01-29 07:00:00+00:00,23122.349609375,23149.900390625,23112.650390625,23135.55078125,0
2025-01-29 07:30:00+00:00,23162.94921875,23166.849609375,23086.55078125,23122.400390625,0
2025-01-29 08:00:00+00:00,23158.30078125,23169.599609375,23136.75,23163.150390625,0
2025-01-29 08:30:00+00:00,23142.69921875,23181.0,23126.30078125,23158.099609375,0
2025-01-29 09:00:00+00:00,23138.80078125,23149.650390625,23115.099609375,23142.69921875,0
2025-01-29 09:30:00+00:00,23176.19921875,23182.69921875,23132.150390625,23140.650390625,0
