Date,Expiry,Strike Price,Option Type,Last Price,spot_price,moneyness,IV,implied_volatility,time_to_expiry,delta,Open Interest,Change in OI
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,PE,-41.00,,,14.65,0.1465,0.0,0.0,-4299,1139002
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2015,CE,2.75,,,30.37,0.3037,0.0,0.0,,22387
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,3120,CE,2.50,,,31.37,0.31370000000000003,0.0,0.0,,87893
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1.40,,,45.72,0.4572,0.0,0.0,,4203
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-,,,1696.1,16.961,0.0,0.0,-,-
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1105,CE,1.40,,,46.95,0.46950000000000003,0.0,0.0,,59160
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1105,PE,-170.05,,,1647.3,16.473,0.0,0.0,-45,70
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1430,CE,1.25,,,47.57,0.4757,0.0,0.0,,5509
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1430,PE,-148.00,,,1800.0,18.0,0.0,0.0,-,1
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2990,CE,1.20,,,48.56,0.48560000000000003,0.0,0.0,,22785
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2990,PE,-4.40,,,1850.15,18.5015,0.0,0.0,-,-
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1430,CE,1.20,,,49.76,0.4976,0.0,0.0,,4702
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,910,PE,-238.00,,,1547.0,15.47,0.0,0.0,205,212
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1430,PE,-,,,1719.4,17.194000000000003,0.0,0.0,-,-
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2730,PE,-,,,1917.35,19.1735,0.0,0.0,-,-
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,650,CE,1.10,,,51.65,0.5165,0.0,0.0,,3647
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,650,PE,-116.60,,,1885.0,18.85,0.0,0.0,-,4
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,3315,CE,1.15,,,53.09,0.5309,0.0,0.0,,25515
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,3315,PE,-,,,2230.0,22.3,0.0,0.0,-,-
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,650,CE,1.05,,,53.74,0.5374,0.0,0.0,,7590
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,650,PE,-,,,2092.65,20.9265,0.0,0.0,-,-
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1690,CE,1.10,,,55.17,0.5517,0.0,0.0,,39585
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1690,PE,-108.15,,,2042.85,20.4285,0.0,0.0,-3,11
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2730,CE,1.25,,,51.19,0.5119,0.0,0.0,,19464
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,910,CE,1.35,,,44.29,0.4429,0.0,0.0,,17501
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-,,,1565.6,15.655999999999999,0.0,0.0,-,-
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1.45,,,43.4,0.434,0.0,0.0,,7365
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,3120,PE,-179.70,,,940.2,9.402000000000001,0.0,0.0,-47,182
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,585,CE,2.35,,,32.51,0.3251,0.0,0.0,,19229
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,585,PE,-20.05,,,992.5,9.925,0.0,0.0,-1,11
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,CE,2.15,,,33.49,0.33490000000000003,0.0,0.0,,52786
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,PE,-201.40,,,1029.5,10.295,0.0,0.0,-3,28
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2.05,,,34.64,0.3464,0.0,0.0,,20213
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-98.75,,,1095.25,10.9525,0.0,0.0,-1,5
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1560,CE,2.10,,,36.12,0.36119999999999997,0.0,0.0,,235889
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1560,PE,-180.65,,,1145.85,11.458499999999999,0.0,0.0,-1430,1789
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,585,CE,2.00,,,37.23,0.37229999999999996,0.0,0.0,,10944
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,585,PE,-64.15,,,1190.0,11.9,0.0,0.0,-,5
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1300,CE,1.60,,,37.49,0.3749,0.0,0.0,,39761
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1300,PE,-222.05,,,1246.65,12.466500000000002,0.0,0.0,1,28
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1.60,,,38.79,0.38789999999999997,0.0,0.0,,9914
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-34.95,,,1295.0,12.95,0.0,0.0,-1,4
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,7540,CE,1.65,,,40.23,0.4023,0.0,0.0,,41353
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,7540,PE,-204.85,,,1336.95,13.3695,0.0,0.0,-1,7
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,910,CE,1.55,,,41.21,0.4121,0.0,0.0,,7167
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,910,PE,-90.70,,,1397.35,13.9735,0.0,0.0,-56,125
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1820,CE,1.50,,,42.31,0.42310000000000003,0.0,0.0,,20668
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,1820,PE,-31.80,,,1440.15,14.4015,0.0,0.0,153,160
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,2015,PE,-190.45,,,886.15,8.8615,0.0,0.0,-4,12
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,325,CE,320.20,,,,0.2,0.0,0.0,,11867
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-30.25,,,13.45,0.13449999999999998,0.0,0.0,-25003,2018184
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,368.00,,,,0.2,0.0,0.0,,30018
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1894.60,,,,0.2,0.0,0.0,,130
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.10,,,3.05,0.0305,0.0,0.0,-2448,72281
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,780,CE,2060.00,,,,0.2,0.0,0.0,,16
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,780,PE,-,,,3.05,0.0305,0.0,0.0,-16205,184012
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2023.60,,,,0.2,0.0,0.0,,3
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-0.10,,,3.1,0.031,0.0,0.0,349,94568
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,780,CE,1963.00,,,,0.2,0.0,0.0,,6
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,780,PE,-0.20,,,3.15,0.0315,0.0,0.0,-2600,136711
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1932.85,,,74.96,0.7495999999999999,0.0,0.0,,2
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.20,,,3.0,0.03,0.0,0.0,-8992,91602
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-0.10,,,3.4,0.034,0.0,0.0,-1884,63502
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-0.15,,,3.55,0.0355,0.0,0.0,-9937,761922
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1708.20,,,,0.2,0.0,0.0,,6
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-0.25,,,3.6,0.036000000000000004,0.0,0.0,-140,73531
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1755.00,,,,0.2,0.0,0.0,,59
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-0.35,,,3.8,0.038,0.0,0.0,5791,193117
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1424.50,,,,0.2,0.0,0.0,,3
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-0.55,,,3.75,0.0375,0.0,0.0,813,86573
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1657.60,,,,0.2,0.0,0.0,,48
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-0.55,,,3.85,0.0385,0.0,0.0,6351,274721
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1860.00,,,,0.2,0.0,0.0,,387
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2164.90,,,,0.2,0.0,0.0,,7
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.20,,,2.95,0.029500000000000002,0.0,0.0,-2455,53724
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2166.75,,,,0.2,0.0,0.0,,2
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.15,,,2.1,0.021,0.0,0.0,2043,303003
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,390,CE,2326.25,,,,0.2,0.0,0.0,,2
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,390,PE,0.15,,,2.15,0.0215,0.0,0.0,1321,50272
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2615.00,,,,0.2,0.0,0.0,,3
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.30,,,2.4,0.024,0.0,0.0,16374,121156
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2538.55,,,,0.2,0.0,0.0,,1
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.20,,,2.35,0.0235,0.0,0.0,-513,41192
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2547.00,,,,0.2,0.0,0.0,,8
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.45,,,2.6,0.026000000000000002,0.0,0.0,5082,113788
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2377.50,,,,0.2,0.0,0.0,,4
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.60,,,2.95,0.029500000000000002,0.0,0.0,-1607,43701
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2465.00,,,,0.2,0.0,0.0,,7
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.20,,,2.6,0.026000000000000002,0.0,0.0,3319,127878
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2302.25,,,,0.2,0.0,0.0,,3
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.25,,,2.65,0.0265,0.0,0.0,-480,47815
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2356.00,,,,0.2,0.0,0.0,,207
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.25,,,2.7,0.027000000000000003,0.0,0.0,-32235,314817
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2220.90,,,,0.2,0.0,0.0,,3
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.30,,,2.85,0.0285,0.0,0.0,-507,38796
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,2265.00,,,,0.2,0.0,0.0,,6
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,0.25,,,2.9,0.028999999999999998,0.0,0.0,-4421,65833
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,CE,1370.25,,,,0.2,0.0,0.0,,53
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,65,PE,-0.85,,,3.95,0.0395,0.0,0.0,-230,106395
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,1565.40,,,,0.2,0.0,0.0,,396
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-0.90,,,4.05,0.0405,0.0,0.0,-4195,286218
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,195,PE,-3.75,,,7.1,0.071,0.0,0.0,976,394610
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,862.00,,,,0.2,0.0,0.0,,9791
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-4.00,,,7.5,0.075,0.0,0.0,20682,1532023
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,130,CE,812.40,,,,0.2,0.0,0.0,,1167
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,130,PE,-4.55,,,7.75,0.0775,0.0,0.0,-1564,478881
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,130,CE,762.85,,,,0.2,0.0,0.0,,5886
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,130,PE,-5.15,,,8.15,0.0815,0.0,0.0,-29644,865752
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,195,CE,714.10,,,,0.2,0.0,0.0,,1046
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,195,PE,-5.45,,,8.9,0.08900000000000001,0.0,0.0,-9574,460297
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,663.50,,,,0.2,0.0,0.0,,5523
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,PE,-6.40,,,9.3,0.09300000000000001,0.0,0.0,-5516,882193
2026-02-10 00:50:00.503713,2026-02-10 00:50:00.503713,260,CE,615.45,,,,0.2,0.0,0.0,,1128
